28100,0.536757031,7560.61,21477.99,47451.94,20212.31,406508.51,10381.97,664992.13,180154.12,1000647.71,514813.9,955936.74,265964.74,60838897.33,,3928876.88,9650522.01,20784548.06,7171787.69,19185491.49,4453618.03,4791007.87,1803845.88,7679352.29,2957186.1,3260063.26,1222035.26,18273102.67,64935000
57521,0.54078431,33892.82,129087,353790.78,121629.21,365461.26,78456.56,92157.99,44916.65,405852.64,80635.01,941991.01,90415.71,75722804.6,,4081660.39,9790913,21222209.22,7318370.79,20218538.74,4385543.44,5611842.01,2683083.35,8770147.36,3391364.99,4018008.99,1397584.29,13061195.4,78461091.24
31628,0.544286526,107376.62,210292.14,495515.16,271184.96,2008229,339563.84,1055863.52,479721.49,1359187.01,411678.24,704432.83,226044.57,64897721.87,,4008050.77,9709707.86,20336484.84,7168815.04,17831771,4124436.16,4648136.48,2248278.51,7568812.99,3060321.76,4007567.17,1261955.43,20662278.13,72566811.25
34940,0.54958939,45840.71,821553.47,4151197.01,1535738.5,4266857.41,952483.36,1117300.7,656124.03,1897687.17,664119.19,1068809.45,293836.72,57528452.28,,4069712.5,9098446.53,17424802.99,5904261.5,16069142.59,3511516.64,4586699.3,2071875.97,7030312.83,2807880.81,3891190.55,1194163.28,30015547.72,75000000
33653,0.554853945,38125.31,303705.72,339214.52,617657.08,1144549.22,249462.02,434613.74,721961.23,681693.77,568129.42,680713.76,200014.93,53079902.38,,4021535.6,8872294.28,19996785.48,6601410.11,18199450.78,4214537.98,5021386.26,1510038.77,7502306.23,2655870.58,3287286.24,1287985.07,25536097.62,59059743.1
10359,0.567076119,58695.39,58923.17,130073.3,57681.44,466287.02,50204.31,132806.68,129324.93,201525.89,128273.37,717226.51,64232.38,67394745.61,,4056857.82,9861076.83,21445926.7,7382318.56,19621712.98,4413795.69,5571193.32,2598675.07,8478474.11,3343726.63,4242773.49,1423767.62,18661254.39,69590000
58507,0.60426473,47247.52,211754.64,864402.61,388425.92,1290403.91,333247.91,560462.34,94490.56,739136.74,173621.71,274858.3,233338.47,59820616.67,,4068305.69,9708245.36,20711597.39,7051574.08,19293596.09,4130752.09,5143537.66,2633509.44,8436863.26,3298378.29,4685141.7,1254661.53,27971383.33,65032007.3
19977,0.604305068,39100.93,276669.17,505080.5,288022.51,746918.28,254780.24,340950.67,95328.42,881390.45,201589.56,618935.7,107849.17,60667488.68,,4076452.28,9147330.83,21070919.5,7151977.49,19341081.72,4209219.76,5363049.33,2632671.58,8294609.55,3270410.44,4341064.3,1380150.83,28116511.32,65024104.28
34383,0.606126252,69756,224363.93,516356.25,186503.13,1430103.75,146428.36,536211.02,324793.43,283789.85,263540.42,843485.95,35306.5,60302659.34,,4045797.21,9695636.07,21059643.75,7253496.87,19153896.25,4317571.64,4919788.98,2403206.57,8892210.15,3208459.58,4116514.05,1452693.5,28233340.66,65163297.93
20856,0.621176715,384.76,199.51,43.89,69.35,636.64,264.01,35.98,2112.1,319.33,0,783.87,0,995150.56,,2916557.32,7191800.49,15127956.11,4711930.65,14631363.36,1735735.99,4463964.02,1733887.9,6695680.67,2232000,3471216.13,1488000,55300849.44,1000000
